source_stage,source_lane,target_stage,target_lane,weight
2023-2024,unified,2025-2026,attention,23
2023-2024,attention,2025-2026,attention,23
2023-2024,deep,2025-2026,attention,8
2023-2024,robust,2025-2026,attention,9
2020-2022,deep,2025-2026,attention,25
2020-2022,unified,2025-2026,attention,3
2020-2022,robust,2025-2026,attention,15
2017-2019,foundation,2025-2026,attention,6
2004-2016,dataset,2025-2026,attention,5
2023-2024,unified,2025-2026,unified,51
2023-2024,attention,2025-2026,unified,11
2020-2022,dataset,2025-2026,unified,15
2017-2019,dataset,2025-2026,unified,11
2020-2022,dataset,2025-2026,attention,8
2017-2019,dataset,2025-2026,attention,3
2023-2024,unified,2025-2026,robust,8
2023-2024,deep,2025-2026,robust,7
2020-2022,dataset,2025-2026,robust,8
2017-2019,dataset,2025-2026,robust,5
2017-2019,foundation,2025-2026,robust,3
2004-2016,dataset,2025-2026,robust,3
2023-2024,deep,2025-2026,unified,5
2023-2024,unified,2025-2026,dataset,16
2023-2024,robust,2025-2026,dataset,5
2023-2024,attention,2025-2026,dataset,6
2023-2024,deep,2025-2026,dataset,4
2020-2022,deep,2025-2026,dataset,9
2020-2022,dataset,2025-2026,dataset,8
2020-2022,attention,2025-2026,dataset,2
2020-2022,robust,2025-2026,dataset,4
2017-2019,dataset,2025-2026,dataset,5
2017-2019,foundation,2025-2026,dataset,4
2004-2016,dataset,2025-2026,dataset,5
2023-2024,dataset,2025-2026,deep,1
2023-2024,attention,2025-2026,deep,1
2023-2024,deep,2025-2026,deep,1
2023-2024,unified,2025-2026,deep,1
2020-2022,deep,2025-2026,deep,2
2020-2022,attention,2025-2026,deep,1
2020-2022,robust,2025-2026,deep,1
2017-2019,deep,2025-2026,deep,1
2023-2024,dataset,2025-2026,unified,5
2020-2022,attention,2025-2026,attention,3
2017-2019,robust,2025-2026,attention,2
2017-2019,deep,2025-2026,attention,7
2023-2024,robust,2025-2026,robust,7
2020-2022,deep,2025-2026,robust,14
2023-2024,robust,2025-2026,unified,2
2023-2024,foundation,2025-2026,unified,1
2020-2022,deep,2025-2026,unified,7
2020-2022,unified,2025-2026,unified,7
2020-2022,robust,2025-2026,unified,10
2020-2022,attention,2025-2026,robust,2
2017-2019,robust,2025-2026,robust,1
2017-2019,deep,2025-2026,robust,3
2017-2019,deep,2025-2026,unified,4
2017-2019,foundation,2025-2026,unified,4
2004-2016,dataset,2025-2026,unified,2
2023-2024,foundation,2025-2026,dataset,2
2023-2024,attention,2025-2026,robust,6
2017-2019,attention,2025-2026,robust,2
2023-2024,dataset,2025-2026,robust,1
2020-2022,robust,2025-2026,robust,3
2020-2022,foundation,2025-2026,robust,1
2020-2022,foundation,2025-2026,dataset,1
2017-2019,attention,2025-2026,dataset,1
2017-2019,deep,2025-2026,dataset,1
2023-2024,foundation,2025-2026,attention,1
2020-2022,foundation,2025-2026,attention,1
2017-2019,attention,2025-2026,attention,1
2020-2022,deep,2023-2024,unified,29
2020-2022,unified,2023-2024,unified,6
2020-2022,dataset,2023-2024,unified,11
2020-2022,attention,2023-2024,unified,4
2020-2022,robust,2023-2024,unified,15
2017-2019,dataset,2023-2024,unified,7
2017-2019,deep,2023-2024,unified,17
2017-2019,attention,2023-2024,unified,1
2017-2019,foundation,2023-2024,unified,5
2004-2016,dataset,2023-2024,unified,2
2020-2022,deep,2023-2024,attention,12
2020-2022,unified,2023-2024,attention,1
2020-2022,dataset,2023-2024,attention,3
2020-2022,robust,2023-2024,attention,8
2020-2022,attention,2023-2024,attention,2
2017-2019,dataset,2023-2024,attention,2
2017-2019,foundation,2023-2024,attention,5
2017-2019,deep,2023-2024,attention,8
2020-2022,deep,2023-2024,deep,30
2020-2022,dataset,2023-2024,deep,12
2020-2022,unified,2023-2024,deep,1
2020-2022,robust,2023-2024,deep,17
2020-2022,attention,2023-2024,deep,6
2017-2019,deep,2023-2024,deep,19
2017-2019,dataset,2023-2024,deep,6
2017-2019,foundation,2023-2024,deep,7
2004-2016,dataset,2023-2024,deep,5
2020-2022,deep,2023-2024,dataset,5
2020-2022,dataset,2023-2024,dataset,3
2020-2022,unified,2023-2024,dataset,1
2020-2022,attention,2023-2024,dataset,1
2020-2022,robust,2023-2024,dataset,1
2017-2019,dataset,2023-2024,dataset,1
2017-2019,deep,2023-2024,dataset,1
2017-2019,foundation,2023-2024,dataset,1
2004-2016,dataset,2023-2024,dataset,1
2017-2019,attention,2023-2024,attention,2
2017-2019,robust,2023-2024,attention,2
2017-2019,robust,2023-2024,deep,2
2004-2016,foundation,2023-2024,unified,1
2020-2022,foundation,2023-2024,deep,1
2017-2019,attention,2023-2024,deep,2
2004-2016,foundation,2023-2024,deep,3
2004-2016,dataset,2023-2024,attention,1
2017-2019,deep,2020-2022,deep,22
2017-2019,dataset,2020-2022,deep,6
2017-2019,attention,2020-2022,deep,7
2017-2019,foundation,2020-2022,deep,16
2004-2016,dataset,2020-2022,deep,5
2017-2019,dataset,2020-2022,dataset,3
2004-2016,dataset,2020-2022,dataset,3
2017-2019,deep,2020-2022,dataset,16
2017-2019,attention,2020-2022,dataset,2
2017-2019,foundation,2020-2022,dataset,8
2017-2019,dataset,2020-2022,unified,1
2017-2019,deep,2020-2022,unified,2
2017-2019,robust,2020-2022,dataset,3
2004-2016,foundation,2020-2022,dataset,2
2017-2019,robust,2020-2022,deep,12
2004-2016,foundation,2020-2022,deep,5
2017-2019,robust,2020-2022,robust,5
2017-2019,deep,2020-2022,robust,11
2017-2019,foundation,2020-2022,robust,5
2004-2016,dataset,2020-2022,robust,4
