itemID	key	type	date	venue	doi	title
3268	H7GFN9IP	conferencePaper	2025-10-27 2025-10-27	MM '25: The 33rd ACM International Conference on Multimedia	10.1145/3746027.3754879	Serial over parallel: Learning continual unification for multi-modal visual object tracking and benchmarking
3328	YT7DZ9X2	journalArticle	2025-04-11 2025-04-11	Proceedings of the AAAI Conference on Artificial Intelligence	10.1609/aaai.v39i2.32223	SUTrack: Towards simple and unified single object tracking
3329	R4M4LSLM	journalArticle	2025-04-11 2025-04-11	Proceedings of the AAAI Conference on Artificial Intelligence	10.1609/aaai.v39i2.32223	SUTrack: Towards simple and unified single object tracking
3292	9N95KR2J	journalArticle	2025-00-00 2025	IJCAI		Template-based uncertainty multimodal fusion network for RGBT tracking
3338	Q4ME97AE	journalArticle	2025-03-01 2025-03-01	Neural Networks	10.1016/j.neunet.2024.106948	TENet: Targetness entanglement incorporating with multi-scale pooling and mutually-guided fusion for RGB-E object tracking
3330	79V5MHDC	journalArticle	2025-02-00 02/2025	Pattern Recognition	10.1016/j.patcog.2024.110984	UniRTL: A universal RGBT and low-light benchmark for object tracking
3331	WPW9Y8KE	journalArticle	2025-02-01 2025-02-01	Pattern Recognition	10.1016/j.patcog.2024.110984	UniRTL: A universal RGBT and low-light benchmark for object tracking
3332	8TASSMU4	journalArticle	2025-02-01 2025-02-01	Pattern Recognition	10.1016/j.patcog.2024.110984	UniRTL: A universal RGBT and low-light benchmark for object tracking
1119	CV9L2RUW	journalArticle	2025-00-00 2025	IEEE Transactions on Pattern Analysis and Machine Intelligence	10.1109/TPAMI.2025.3615714	UniSOT: A unified framework for multi-modality single object tracking
3341	DKJNFXYR	conferencePaper	2025-00-00 2025	Proceedings of the IEEE/CVF International Conference on Computer Vision		What you have is what you track: Adaptive and robust multimodal tracking
3340	3A75KUXU	conferencePaper	2025-00-00 2025	Proceedings of the IEEE/CVF International Conference on Computer Vision		XTrack: Multimodal training boosts RGB-X video object trackers
1543	7VT3DIWE	preprint	2024-02-13 2024-02-13		10.48550/arXiv.2312.17133	ARTrackV2: Prompting autoregressive tracker where to look and how to describe
1118	2DQU59UZ	webpage	2024-12-20 2024/12/20			Exploiting multimodal spatial-temporal patterns for video object tracking
2923	7ZXERUPL	conferencePaper	2024-06-16 2024-6-16	2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	10.1109/CVPR52733.2024.02108	MTMMC: A large-scale real-world multi-modal camera tracking benchmark
2428	JHRHEMUW	preprint	2024-01-03 2024-01-03		10.48550/arXiv.2401.01686	ODTrack: Online dense temporal token learning for visual tracking
1112	FX74N3TJ	preprint	2024-03-14 2024-03-14		10.48550/arXiv.2403.09634	OneTracker: Unifying visual object tracking with foundation models and efficient tuning
3201	PY4CS2BD	journalArticle	2024-00-00 2024	IEEE Transactions on Image Processing	10.1109/TIP.2024.3371355	RGBT tracking via challenge-based appearance disentanglement and interaction
3195	N3C68IRQ	conferencePaper	2023-00-00 2023	Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition		Bridging search region interaction with template for RGB-T tracking
3199	J29FVMTQ	journalArticle	2023-01-00 2023/1	Sensors	10.3390/s23146609	Learning modality complementary features with mixed attention mechanism for RGB-T tracking
2922	X6C8SBTZ	conferencePaper	2023-01-00 1/2023	2023 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)	10.1109/WACV56688.2023.00484	MMPTRACK: Large-scale densely annotated multi-camera multiple people tracking benchmark
